Season,Name,Column,Status
1,Jamie,0,none
1,Russell,1,none
1,Charlie,2,none
1,Charlie,3,none
1,Ryan,4,none
1,Ryan,5,none
1,Ryan,6,the contestant won the competition
1,Rob,0,none
1,Greg T.,1,none
1,Bob,2,none
1,Russell,3,none
1,Charlie,4,none
1,Charlie,5,none
1,Charlie,6,the contestant was eliminated at the rose ceremony
1,Chris,0,none
1,Ryan,1,none
1,Greg T.,2,none
1,Ryan,3,none
1,Russell,4,none
1,Russell,5,the contestant was eliminated at the rose ceremony
1,Jack,0,none
1,Brian C.,1,none
1,Ryan,2,none
1,Greg T.,3,none
1,Greg T.,4,the contestant was eliminated at the rose ceremony
1,Brian S.,0,none
1,Brook,1,none
1,Mike,2,none
1,Bob,3,the contestant was eliminated at the rose ceremony
1,Jamie,3,the contestant was eliminated at the rose ceremony
1,Mike,3,the contestant was eliminated at the rose ceremony
1,Rob,3,the contestant was eliminated at the rose ceremony
1,Eric,0,none
1,Mike,1,none
1,Rob,2,none
1,Greg T.,0,none
1,Brian S.,1,none
1,Jamie,2,none
1,Matt,0,none
1,Jack,1,none
1,Russell,2,none
1,Ryan,0,none
1,Charlie,1,none
1,Brian C.,2,the contestant was eliminated at the rose ceremony
1,Brian S.,2,the contestant was eliminated at the rose ceremony
1,Brook,2,the contestant was eliminated at the rose ceremony
1,Jack,2,the contestant was eliminated at the rose ceremony
1,Jeff,2,the contestant was eliminated at the rose ceremony
1,Josh,2,the contestant was eliminated at the rose ceremony
1,Brook,0,none
1,Josh,1,none
1,Peter,0,none
1,Brian H.,1,none
1,Brian H.,0,none
1,Jamie,1,none
1,Russell,0,none
1,Rob,1,none
1,Paul,0,none
1,Jeff,1,none
1,Brian K.,0,none
1,Bob,1,none
1,Brian H.,2,the contestant quit the competition
1,Bob,0,none
1,Billy,1,the contestant was eliminated at the rose ceremony
1,Brian K.,1,the contestant was eliminated at the rose ceremony
1,Chris,1,the contestant was eliminated at the rose ceremony
1,Duane,1,the contestant was eliminated at the rose ceremony
1,Eric,1,the contestant was eliminated at the rose ceremony
1,Gregg H.,1,the contestant was eliminated at the rose ceremony
1,Matt,1,the contestant was eliminated at the rose ceremony
1,Paul,1,the contestant was eliminated at the rose ceremony
1,Peter,1,the contestant was eliminated at the rose ceremony
1,Wayne,1,the contestant was eliminated at the rose ceremony
1,Billy,0,none
1,Duane,0,none
1,Gregg H.,0,none
1,Brian C.,0,none
1,Jeff,0,none
1,Josh,0,none
1,Mike,0,none
1,Wayne,0,none
